,variable,week_pop,value_pop,week_data,value_data
0,Acidovorax,90,0.16363484528296704,90,0.166601523
1,Acinetobacter,90,0.04609385043956044,90,0.04477922866666667
2,Aeromonas,90,0.011002740637362635,90,0.011584483333333333
3,Aliarcobacter,90,0.005905922618131868,90,0.005912778333333334
4,Aquabacterium_A,90,0.0011990537637362637,90,0.0012911383333333334
5,Bacteroides,90,0.0015884777802197803,90,0.0016194566666666666
6,Brachymonas,90,0.016357159914835166,90,0.016416094333333332
7,Brevefilum,90,4.6410867307692315e-06,90,4.64676e-06
8,Brevundimonas,90,0.0035005421538461534,90,0.0034754869999999998
9,Cloacibacterium,90,0.00807871379945055,90,0.008036904
10,Comamonas,90,0.01984544465934066,90,0.020093261333333334
11,Competibacter_A,90,0.0011232150217032964,90,0.0011822720333333333
12,Enterobacter,90,0.0011911435315934066,90,0.0011769580333333334
13,Fermentibacter,90,7.314799590659341e-05,90,7.351062333333333e-05
14,Flavobacterium,90,0.01349368990934066,90,0.013133222333333333
15,Giesbergeria,90,0.009045149461538463,90,0.008945849
16,Hydrogenophaga,90,0.0011840743351648351,90,0.0011633953333333334
17,JAGOYM01,90,0.0021801554285714284,90,0.0021589336666666668
18,Janthinobacterium,90,0.0023222179175824173,90,0.002389889333333333
19,Kaistella,90,0.009953885664835167,90,0.01003747
20,Lactococcus_A,90,0.00033253682142857146,90,0.0003330796666666667
21,Lenti-01,90,0.006539550568681318,90,0.006648380666666666
22,Microthrix,90,0.00041771500684065937,90,0.0003786736033333333
23,Moraxella_A,90,0.013512071673076925,90,0.013781983333333333
24,Neisseria,90,0.019041655505494505,90,0.019077006666666667
25,Novosphingobium,90,0.001287839936813187,90,0.0012753383333333334
26,Ottowia,90,0.03176080999725275,90,0.030959094000000003
27,Paracoccus,90,0.00403449239010989,90,0.0040372536666666665
28,Phocaeicola,90,0.0020377610384615386,90,0.0020141770000000002
29,Prevotella,90,0.003917503447802198,90,0.004057677333333333
30,Propionivibrio,90,0.014170358357142856,90,0.014191628666666666
31,Pseudomonas_E,90,0.08852678566483516,90,0.087868479
32,Pseudoxanthomonas,90,0.009878876884615386,90,0.009885767333333333
33,Pseudoxanthomonas_A,90,0.015691268173076922,90,0.015531338333333332
34,Psychrobacter,90,0.007301122807692309,90,0.007494891666666666
35,Rubrivivax,90,0.0005930079505494505,90,0.0005981753333333333
36,Streptococcus,90,0.0036198339505494506,90,0.003612048
37,Telluria,90,0.0029852435274725273,90,0.0029610236666666664
38,Thauera,90,0.009409856934065933,90,0.009482894
39,Thermomonas,90,0.009599273321428571,90,0.009590649666666666
40,Thiothrix,90,0.0013986078214285713,90,0.0015376763333333331
41,Tolumonas,90,0.008709053576923077,90,0.008968919333333334
42,Trichococcus,90,0.0035228964175824176,90,0.0036007179999999997
43,UBA1413,90,6.855785384615385e-06,90,7.104253333333333e-06
